name,release_year,poster,imdbid,streaming,rent,buy,num_streaming
Society of the Snow,2023,https://images.justwatch.com/poster/309833971/s718/society-of-the-snow.jpg,tt16277242,"['Netflix', 'Netflix Standard with Ads']",[],[],2
The Teachers' Lounge,2023,https://images.justwatch.com/poster/305300774/s718/the-teachers-lounge.jpg,tt26612950,[],"['Amazon Video ($3.99)', 'Apple TV Store ($3.99)', 'Google Play Movies ($3.99)', 'YouTube ($3.99)', 'Fandango At Home ($3.99)', 'Spectrum On Demand ($3.99)']",[],0
Golda,2023,https://images.justwatch.com/poster/308892218/s718/golda-2023.jpg,tt14454876,[],"['Amazon Video ($3.59)', 'Google Play Movies ($3.59)', 'YouTube ($3.59)', 'Apple TV Store ($3.99)', 'Fandango At Home ($3.99)']","['Amazon DVD / Blu-ray ($8.97)', 'Barnes & Noble ($11.39)']",0
Indiana Jones and the Dial of Destiny,2023,https://images.justwatch.com/poster/306066228/s718/indiana-jones-5.jpg,tt1462764,['Disney Plus'],"['Amazon Video ($3.99)', 'Apple TV Store ($3.99)', 'Google Play Movies ($3.99)', 'YouTube ($3.99)', 'Fandango At Home ($3.99)', 'Spectrum On Demand ($3.99)']",['Barnes & Noble ($25.99)'],1
Flamin' Hot,2023,https://images.justwatch.com/poster/305303301/s718/flamin-hot.jpg,tt8105234,"['Disney Plus', 'Hulu']",[],[],2
American Symphony,2023,https://images.justwatch.com/poster/310350216/s718/american-symphony.jpg,tt28865980,"['Netflix', 'Netflix Standard with Ads']",[],[],2
Past Lives,2023,https://images.justwatch.com/poster/305210032/s718/past-lives.jpg,tt13238346,"['HBO Max', 'HBO Max Amazon Channel', 'Cinemax Amazon Channel', 'Cinemax Apple TV Channel']","['Amazon Video ($3.99)', 'Fandango At Home ($3.99)', 'Spectrum On Demand ($3.99)', 'Plex ($3.99)', 'Apple TV Store ($4.99)', 'Google Play Movies ($7.99)', 'YouTube ($7.99)']","['Amazon DVD / Blu-ray ($None)', 'Barnes & Noble ($13.99)']",4
Letter to a Pig,2024,https://images.justwatch.com/poster/311755793/s718/letter-to-a-pig.jpg,tt10346066,['ShortsTV Amazon Channel'],[],"['Apple TV Store ($1.99)', 'Google Play Movies ($2.99)', 'YouTube ($2.99)']",1
Ninety-Five Senses,2022,https://images.justwatch.com/poster/311344787/s718/ninety-five-senses.jpg,tt11020596,[],[],[],0
Our Uniform,2023,https://images.justwatch.com/poster/315692151/s718/our-uniform.jpg,tt28058015,[],[],"['Apple TV Store ($1.99)', 'Google Play Movies ($2.99)', 'YouTube ($2.99)']",0
Pachyderm,2024,https://images.justwatch.com/poster/311344738/s718/pachyderm.jpg,tt20862526,[],[],"['Apple TV Store ($1.99)', 'Google Play Movies ($2.99)', 'YouTube ($2.99)']",0
WAR IS OVER!,2023,https://images.justwatch.com/poster/309974244/s718/war-is-over-inspired-by-the-music-of-john-and-yoko.jpg,tt29795707,[],[],[],0
The After,2024,https://images.justwatch.com/poster/309081915/s718/the-after.jpg,tt28532006,"['Netflix', 'Netflix Standard with Ads']",[],[],2
"Red, White and Blue",2024,https://images.justwatch.com/poster/311332971/s718/red-white-and-blue-2023.jpg,tt27759823,[],[],[],0
The Wonderful Story of Henry Sugar,2023,https://images.justwatch.com/poster/312809770/s718/untitled-wes-anderson-roald-dahl-film.jpg,tt16968450,"['Netflix', 'Netflix Standard with Ads']",[],[],2
The Creator,2023,https://images.justwatch.com/poster/309415151/s718/the-creator.jpg,tt11858890,"['Amazon Prime Video', 'Amazon Prime Video with Ads']","['Amazon Video ($3.99)', 'Apple TV Store ($3.99)', 'Google Play Movies ($3.99)', 'YouTube ($3.99)', 'Fandango At Home ($3.99)', 'Spectrum On Demand ($3.99)']","['Amazon DVD / Blu-ray ($12.44)', 'Barnes & Noble ($25.99)']",2
Mission: Impossible - Dead Reckoning Part One,2023,https://images.justwatch.com/poster/305409535/s718/mission-impossible-7.jpg,tt9603212,"['fuboTV', 'MGM+ Amazon Channel', 'Paramount+ Amazon Channel', 'Paramount+ Roku Premium Channel', 'MGM Plus', 'Philo', 'Paramount Plus Essential', 'Paramount Plus Premium']","['Amazon Video ($3.99)', 'Apple TV Store ($3.99)', 'Google Play Movies ($3.99)', 'YouTube ($3.99)', 'Fandango At Home ($3.99)', 'JustWatch TV ($3.99)', 'Plex ($3.99)']","['Amazon DVD / Blu-ray ($None)', 'Barnes & Noble ($14.99)']",8
Godzilla Minus One,2023,https://images.justwatch.com/poster/313783206/s718/godzilla-minus-one.jpg,tt23289160,"['Netflix', 'Netflix Standard with Ads']","['Amazon Video ($3.99)', 'Apple TV Store ($3.99)', 'Fandango At Home ($3.99)', 'Plex ($3.99)', 'Google Play Movies ($5.99)', 'YouTube ($5.99)']","['Amazon DVD / Blu-ray ($None)', 'Barnes & Noble ($16.09)', 'GRUV ($19.95)']",2
Guardians of the Galaxy Vol. 3,2023,https://images.justwatch.com/poster/304936885/s718/guardians-of-the-galaxy-vol-3.jpg,tt6791350,['Disney Plus'],"['Amazon Video ($3.99)', 'Apple TV Store ($3.99)', 'Google Play Movies ($3.99)', 'YouTube ($3.99)', 'Fandango At Home ($3.99)']",['Amazon DVD / Blu-ray ($24.99)'],1
May December,2023,https://images.justwatch.com/poster/310247617/s718/may-december.jpg,tt13651794,"['Netflix', 'Netflix Standard with Ads']",[],[],2
The Brutalist,2024,https://images.justwatch.com/poster/326223302/s718/the-brutalist.jpg,tt8999762,"['HBO Max', 'HBO Max Amazon Channel']","['Plex ($3.99)', 'Amazon Video ($4.99)', 'Fandango At Home ($4.99)', 'Apple TV Store ($5.99)', 'Google Play Movies ($7.99)', 'YouTube ($7.99)']",['Barnes & Noble ($29.99)'],2
A Complete Unknown,2024,https://images.justwatch.com/poster/323464854/s718/a-complete-unknown.jpg,tt11563598,"['Hulu', 'fuboTV', 'YouTube TV']","['Amazon Video ($3.99)', 'Google Play Movies ($3.99)', 'YouTube ($3.99)', 'Fandango At Home ($3.99)']",['Apple TV Store ($4.99)'],3
Sing Sing,2024,https://images.justwatch.com/poster/316460242/s718/sing-sing.jpg,tt28479262,"['HBO Max', 'HBO Max Amazon Channel', 'History Vault', 'Cinemax Amazon Channel', 'Cinemax Apple TV Channel']","['Amazon Video ($4.99)', 'Fandango At Home ($4.99)', 'Apple TV Store ($5.99)', 'Google Play Movies ($7.99)', 'YouTube ($7.99)']",[],5
Conclave,2024,https://images.justwatch.com/poster/322635520/s718/conclave.jpg,tt20215234,"['Amazon Prime Video', 'Amazon Prime Video with Ads']","['Amazon Video ($3.99)', 'Apple TV Store ($3.99)', 'Google Play Movies ($3.99)', 'YouTube ($3.99)', 'Fandango At Home ($3.99)']","['Amazon DVD / Blu-ray ($None)', 'Barnes & Noble ($13.29)']",2
The Apprentice,2024,https://images.justwatch.com/poster/321930797/s718/the-apprentice-2024-0.jpg,tt8368368,"['Amazon Prime Video', 'Amazon Prime Video with Ads']","['Amazon Video ($1.99)', 'Apple TV Store ($1.99)', 'Google Play Movies ($3.99)', 'YouTube ($3.99)', 'Fandango At Home ($3.99)']","['Amazon DVD / Blu-ray ($17.09)', 'Barnes & Noble ($20.99)']",2
Anora,2024,https://images.justwatch.com/poster/323065528/s718/anora.jpg,tt28607951,['Hulu'],"['Amazon Video ($3.99)', 'Apple TV Store ($3.99)', 'Google Play Movies ($3.99)', 'YouTube ($3.99)', 'Fandango At Home ($3.99)']",['Barnes & Noble ($29.99)'],1
A Real Pain,2024,https://images.justwatch.com/poster/322108439/s718/a-real-pain.jpg,tt21823606,[],"['Amazon Video ($3.99)', 'Apple TV Store ($3.99)', 'Google Play Movies ($3.99)', 'YouTube ($3.99)', 'Fandango At Home ($3.99)']","['Amazon DVD / Blu-ray ($28.49)', 'Barnes & Noble ($40.99)']",0
Wicked,2024,https://images.justwatch.com/poster/322412111/s718/wicked-2021-0.jpg,tt1262426,"['Amazon Prime Video', 'Amazon Prime Video with Ads']","['Amazon Video ($3.99)', 'Apple TV Store ($3.99)', 'Google Play Movies ($3.99)', 'YouTube ($3.99)', 'Fandango At Home ($3.99)', 'FlixFling ($3.99)']",[],2
EMILIA PÉREZ,2024,https://images.justwatch.com/poster/313938244/s718/emilia-perez.jpg,tt20221436,"['Netflix', 'Netflix Standard with Ads']",[],[],2
The Substance,2024,https://images.justwatch.com/poster/320520686/s718/the-substance.jpg,tt17526714,"['HBO Max', 'HBO Max Amazon Channel', 'MUBI', 'MUBI Amazon Channel']","['Amazon Video ($5.99)', 'Apple TV Store ($5.99)', 'Fandango At Home ($5.99)']","['Barnes & Noble ($20.99)', 'Amazon DVD / Blu-ray ($26.33)']",4
I'm Still Here,2024,https://images.justwatch.com/poster/324650634/s718/im-still-here-2025.jpg,tt14961016,['Netflix'],"['Amazon Video ($5.99)', 'Apple TV Store ($5.99)', 'Google Play Movies ($5.99)', 'YouTube ($5.99)', 'Fandango At Home ($5.99)', 'Plex ($5.99)']","['Amazon DVD / Blu-ray ($None)', 'Barnes & Noble ($23.49)']",1
Straume,2024,https://images.justwatch.com/poster/326396708/s718/flow-2024.jpg,tt4772188,"['HBO Max', 'HBO Max Amazon Channel']","['Amazon Video ($2.99)', 'Apple TV Store ($3.99)', 'Google Play Movies ($3.99)', 'YouTube ($3.99)', 'Fandango At Home ($3.99)']","['Amazon DVD / Blu-ray ($None)', 'Barnes & Noble ($29.99)']",2
Inside Out 2,2024,https://images.justwatch.com/poster/317102237/s718/inside-out-2.jpg,tt22022452,['Disney Plus'],"['Amazon Video ($3.99)', 'Apple TV Store ($3.99)', 'Google Play Movies ($3.99)', 'YouTube ($3.99)', 'Fandango At Home ($3.99)', 'Spectrum On Demand ($3.99)']","['Barnes & Noble ($26.99)', 'Zavvi ($32.99)']",1
Memoir of a Snail,2024,https://images.justwatch.com/poster/326163828/s718/memoir-of-a-snail.jpg,tt23770030,"['Hulu', 'AMC Plus Apple TV Channel ', 'AMC+ Amazon Channel', 'AMC+', 'Philo', 'Sundance Now']","['Amazon Video ($2.99)', 'Fandango At Home ($2.99)', 'Apple TV Store ($3.99)', 'Spectrum On Demand ($3.99)', 'Plex ($3.99)', 'Google Play Movies ($4.99)', 'YouTube ($4.99)']","['Amazon DVD / Blu-ray ($12.99)', 'Barnes & Noble ($15.59)', 'Zavvi ($22.99)']",6
Wallace & Gromit: Vengeance Most Fowl,2024,https://images.justwatch.com/poster/323236179/s718/wallace-and-gromit-vengeance-most-fowl.jpg,tt17163970,"['Netflix', 'Netflix Standard with Ads']",[],[],2
